DepartmentID,DepartmentName
DP00001,aggregate global relationships
DP00002,repurpose transparent info-mediaries
DP00003,architect magnetic paradigms
DP00004,morph transparent experiences
DP00005,repurpose impactful architectures
DP00006,transition impactful web services
DP00007,whiteboard scalable networks
DP00008,incentivize impactful markets
DP00009,embrace front-end initiatives
DP00010,deploy intuitive architectures
DP00011,transform end-to-end initiatives
DP00012,embrace magnetic infrastructures
DP00013,transition dynamic web services
DP00014,transition strategic applications
DP00015,maximize intuitive infrastructures
DP00016,envisioneer global metrics
DP00017,synthesize killer deliverables
DP00018,reinvent global initiatives
DP00019,strategize B2C paradigms
DP00020,deploy enterprise infrastructures
DP00021,streamline wireless bandwidth
DP00022,brand sticky action-items
DP00023,implement impactful channels
DP00024,harness visionary e-business
DP00025,expedite value-added partnerships
DP00026,grow best-of-breed content
DP00027,deploy integrated platforms
DP00028,brand turn-key schemas
DP00029,e-enable leading-edge channels
DP00030,seize plug-and-play e-business
DP00031,seize ubiquitous markets
DP00032,scale wireless initiatives
DP00033,generate 24/7 partnerships
DP00034,synergize clicks-and-mortar models
DP00035,expedite distributed action-items
DP00036,deliver revolutionary solutions
DP00037,disintermediate end-to-end infrastructures
DP00038,mesh transparent deliverables
DP00039,mesh open-source models
DP00040,streamline one-to-one supply-chains
DP00041,transition visionary portals
DP00042,utilize killer portals
DP00043,repurpose out-of-the-box networks
DP00044,scale proactive architectures
DP00045,re-contextualize efficient supply-chains
DP00046,synthesize cutting-edge initiatives
DP00047,unleash mission-critical niches
DP00048,cultivate 24/7 methodologies
DP00049,productize wireless vortals
DP00050,exploit cross-media portals
DP00051,engage viral ROI
DP00052,innovate scalable bandwidth
DP00053,strategize frictionless schemas
DP00054,seize value-added initiatives
DP00055,re-intermediate e-business systems
DP00056,expedite strategic portals
DP00057,deliver one-to-one initiatives
DP00058,synergize cross-media metrics
DP00059,redefine collaborative e-commerce
DP00060,redefine dot-com eyeballs
DP00061,drive dot-com e-business
DP00062,grow vertical initiatives
DP00063,innovate sticky web services
DP00064,iterate web-enabled bandwidth
DP00065,revolutionize B2B synergies
DP00066,facilitate bricks-and-clicks relationships
DP00067,implement turn-key markets
DP00068,streamline 24/7 users
DP00069,expedite collaborative platforms
DP00070,utilize open-source infrastructures
DP00071,whiteboard value-added platforms
DP00072,engage plug-and-play convergence
DP00073,engage B2B applications
DP00074,harness global niches
DP00075,disintermediate user-centric initiatives
DP00076,exploit killer metrics
DP00077,scale value-added interfaces
DP00078,scale revolutionary web services
DP00079,revolutionize strategic markets
DP00080,optimize leading-edge experiences
DP00081,mesh web-enabled niches
DP00082,exploit magnetic e-tailers
DP00083,optimize B2B solutions
DP00084,integrate viral architectures
DP00085,brand cross-media communities
DP00086,architect proactive e-commerce
DP00087,leverage web-enabled functionalities
DP00088,revolutionize ubiquitous eyeballs
DP00089,benchmark visionary markets
DP00090,transition B2B content
DP00091,incentivize open-source bandwidth
DP00092,implement open-source info-mediaries
DP00093,facilitate magnetic supply-chains
DP00094,re-contextualize e-business e-markets
DP00095,aggregate virtual web services
DP00096,utilize web-enabled platforms
DP00097,scale front-end vortals
DP00098,drive compelling relationships
DP00099,reinvent synergistic content
DP00100,revolutionize bleeding-edge metrics
DP00101,transition efficient paradigms
DP00102,synthesize plug-and-play e-business
DP00103,disintermediate revolutionary e-tailers
DP00104,innovate real-time functionalities
DP00105,productize integrated synergies
DP00106,incentivize turn-key web services
DP00107,e-enable holistic synergies
DP00108,repurpose compelling architectures
DP00109,innovate user-centric mindshare
DP00110,repurpose 24/7 paradigms
DP00111,productize intuitive technologies
DP00112,visualize integrated paradigms
DP00113,innovate proactive supply-chains
DP00114,synergize web-enabled content
DP00115,reinvent frictionless technologies
DP00116,utilize dynamic communities
DP00117,evolve B2B bandwidth
DP00118,scale cross-platform supply-chains
DP00119,extend leading-edge initiatives
DP00120,facilitate leading-edge e-tailers
DP00121,engage holistic architectures
DP00122,e-enable real-time convergence
DP00123,scale seamless technologies
DP00124,streamline user-centric channels
DP00125,e-enable innovative initiatives
DP00126,enhance holistic models
DP00127,cultivate holistic technologies
DP00128,maximize visionary networks
DP00129,redefine one-to-one paradigms
DP00130,mesh cutting-edge applications
DP00131,mesh web-enabled markets
DP00132,drive end-to-end metrics
DP00133,transform cutting-edge metrics
DP00134,e-enable world-class info-mediaries
DP00135,transition robust supply-chains
DP00136,transition mission-critical synergies
DP00137,redefine collaborative paradigms
DP00138,enable e-business systems
DP00139,transform leading-edge interfaces
DP00140,cultivate B2B e-commerce
DP00141,iterate one-to-one mindshare
DP00142,scale visionary metrics
DP00143,repurpose viral functionalities
DP00144,brand cross-media bandwidth
DP00145,maximize best-of-breed technologies
DP00146,generate 24/365 relationships
DP00147,orchestrate killer partnerships
DP00148,streamline collaborative applications
DP00149,expedite distributed e-services
DP00150,transform collaborative experiences
DP00151,orchestrate best-of-breed paradigms
DP00152,facilitate distributed relationships
DP00153,incubate back-end communities
DP00154,maximize cross-platform technologies
DP00155,optimize leading-edge schemas
DP00156,revolutionize open-source users
DP00157,streamline 24/365 systems
DP00158,seize seamless platforms
DP00159,grow leading-edge methodologies
DP00160,enhance bleeding-edge systems
DP00161,redefine revolutionary web-readiness
DP00162,iterate B2B users
DP00163,target next-generation platforms
DP00164,cultivate strategic experiences
DP00165,redefine B2C experiences
DP00166,transition strategic web-readiness
DP00167,productize user-centric ROI
DP00168,extend dynamic methodologies
DP00169,empower cutting-edge bandwidth
DP00170,syndicate front-end solutions
DP00171,syndicate vertical functionalities
DP00172,utilize plug-and-play niches
DP00173,monetize efficient platforms
DP00174,maximize wireless web-readiness
DP00175,orchestrate mission-critical info-mediaries
DP00176,maximize scalable bandwidth
DP00177,transform extensible schemas
DP00178,integrate proactive users
DP00179,matrix sticky eyeballs
DP00180,implement next-generation ROI
DP00181,whiteboard cutting-edge architectures
DP00182,empower collaborative deliverables
DP00183,productize clicks-and-mortar solutions
DP00184,revolutionize world-class e-business
DP00185,engineer cutting-edge bandwidth
DP00186,extend cross-platform communities
DP00187,productize scalable infrastructures
DP00188,brand visionary web services
DP00189,re-intermediate value-added paradigms
DP00190,utilize web-enabled e-business
DP00191,transform compelling architectures
DP00192,utilize vertical initiatives
DP00193,transform viral experiences
DP00194,mesh one-to-one platforms
DP00195,integrate interactive relationships
DP00196,seize efficient e-markets
DP00197,optimize integrated info-mediaries
DP00198,synthesize mission-critical functionalities
DP00199,utilize open-source niches
DP00200,aggregate bricks-and-clicks interfaces
DP00201,reinvent value-added users
DP00202,synthesize bleeding-edge action-items
DP00203,enable world-class web services
DP00204,whiteboard next-generation interfaces
DP00205,re-contextualize seamless paradigms
DP00206,reinvent intuitive e-tailers
DP00207,cultivate value-added vortals
DP00208,matrix web-enabled bandwidth
DP00209,target killer portals
DP00210,deliver turn-key bandwidth
DP00211,monetize innovative ROI
DP00212,incubate transparent channels
DP00213,unleash turn-key users
DP00214,enable seamless systems
DP00215,extend magnetic vortals
DP00216,implement enterprise convergence
DP00217,transition B2B solutions
DP00218,generate visionary web services
DP00219,synergize compelling niches
DP00220,implement magnetic users
DP00221,whiteboard ubiquitous channels
DP00222,iterate end-to-end portals
DP00223,monetize dot-com portals
DP00224,mesh one-to-one vortals
DP00225,disintermediate innovative networks
DP00226,reinvent customized metrics
DP00227,incubate next-generation e-tailers
DP00228,embrace real-time architectures
DP00229,monetize rich mindshare
DP00230,deploy one-to-one relationships
DP00231,repurpose synergistic markets
DP00232,strategize user-centric channels
DP00233,facilitate cross-platform architectures
DP00234,grow extensible markets
DP00235,incubate seamless web services
DP00236,synthesize magnetic methodologies
DP00237,target open-source infrastructures
DP00238,transition scalable vortals
DP00239,visualize global metrics
DP00240,whiteboard interactive applications
DP00241,target e-business networks
DP00242,morph mission-critical ROI
DP00243,redefine efficient markets
DP00244,maximize magnetic networks
DP00245,target innovative bandwidth
DP00246,repurpose bricks-and-clicks paradigms
DP00247,repurpose plug-and-play paradigms
DP00248,exploit efficient users
DP00249,deliver vertical deliverables
DP00250,redefine extensible initiatives
DP00251,streamline turn-key web-readiness
DP00252,redefine robust action-items
DP00253,implement one-to-one bandwidth
DP00254,seize bricks-and-clicks e-tailers
DP00255,target innovative schemas
DP00256,strategize distributed web-readiness
DP00257,engage front-end info-mediaries
DP00258,harness extensible web-readiness
DP00259,evolve 24/365 solutions
DP00260,drive best-of-breed markets
